"","X.3","X.2","X.1","X","dog_guid","MIN.c.created_at.","hour","day","month","gender","neutered","personality","age","weight","breed","btype","bgroup","ntests","mid","PC1","PC2"
"96",96,96,96,97,"fd462086-7144-11e5-ba71-058fbc01cf0b","2013-06-30 14:17:38",14,1,6,"female",1,"expert","7-10","0-19","Poodle","Pure Breed","Non-Sporting",43,7.3335146605,-1.7445355972491,1.37682107928891
"97",97,97,97,98,"fd4647fa-7144-11e5-ba71-058fbc01cf0b","2013-06-18 15:53:02",15,3,6,"male",1,"stargazer","5-7","90-139","Shih Tzu","Pure Breed","Toy",33,1.1601555266,-0.297108894020142,4.5051981529681
"98",98,98,98,99,"fd46539e-7144-11e5-ba71-058fbc01cf0b","2013-06-23 11:57:47",11,1,6,"female",1,"socialite","7-10","50-89","Boxer","Pure Breed","Working",20,5.6548659844,0.248875028845191,-1.45951153262118
"99",99,99,99,100,"fd4658b2-7144-11e5-ba71-058fbc01cf0b","2013-06-21 17:12:18",17,6,6,"female",1,"ace","2-4","0-19","Miniature Schnauzer-Poodle Mix","Cross Breed","",21,26.048071759,-0.0417232677341157,-0.388593470755869
"100",100,100,100,101,"fd46856c-7144-11e5-ba71-058fbc01cf0b","2013-06-26 13:22:15",13,4,6,"male",0,"protodog",">10",">139","Shih Tzu","Pure Breed","Toy",20,0.00095090156079,0.743302324701396,2.61790598686617
"101",101,101,101,102,"fd46ae84-7144-11e5-ba71-058fbc01cf0b","2013-06-27 16:16:01",16,5,6,"female",0,"protodog",">10",">139","Shih Tzu","Pure Breed","Toy",20,0.0012701023371,0.743302324701396,2.61790598686617
"102",102,102,102,103,"fd46d3fa-7144-11e5-ba71-058fbc01cf0b","2013-07-01 10:10:46",10,2,7,"female",0,"socialite","7-10","20-49","English Setter","Pure Breed","Sporting",23,1.4574047769,2.93014552755284,0.46960887188002
"103",103,103,103,104,"fd473f2a-7144-11e5-ba71-058fbc01cf0b","2013-07-09 03:41:10",3,3,7,"male",1,"expert","5-7","20-49","Bichon Frise","Pure Breed","Non-Sporting",20,0.031316398637,-0.469435238893781,0.295529751811481
"104",104,104,104,105,"fd479182-7144-11e5-ba71-058fbc01cf0b","2013-07-11 20:31:08",20,5,7,"male",0,"socialite","2-4","50-89","Afghan Hound","Pure Breed","Hound",20,0.002555433722,-1.09328219008333,-1.34928505485267
"105",105,105,105,106,"fd47fca8-7144-11e5-ba71-058fbc01cf0b","2013-07-17 04:43:54",4,4,7,"female",0,"renaissance-dog","2-4","50-89","Golden Retriever-Labrador Retriever Mix","Cross Breed","",20,1.4751163499,0.682536039761718,-0.507497182131921
"106",106,106,106,107,"fd47ffe6-7144-11e5-ba71-058fbc01cf0b","2013-07-20 22:03:11",22,7,7,"female",0,"protodog","0-1","50-89","Labrador Retriever-Golden Retriever Mix","Cross Breed","",20,1.2599409113,-1.36385693210189,0.0234512871889689
"107",107,107,107,108,"fd480bbc-7144-11e5-ba71-058fbc01cf0b","2013-07-19 19:19:34",19,6,7,"female",1,"socialite","2-4","50-89","Golden Retriever-Labrador Retriever Mix","Cross Breed","",20,1.4387682749,-1.13916883763514,0.268169189676255
"108",108,108,108,109,"fd484046-7144-11e5-ba71-058fbc01cf0b","2013-07-18 13:39:56",13,5,7,"female",0,"protodog","2-4","50-89","Labrador Retriever","Pure Breed","Sporting",20,0.80680433723,0.0286627276309503,0.414740712647576
"109",109,109,109,110,"fd484172-7144-11e5-ba71-058fbc01cf0b","2013-07-21 15:16:33",15,1,7,"male",1,"socialite","2-4","50-89","Labrador Retriever-Golden Retriever Mix","Cross Breed","",20,0.91862329434,0.648178994161604,1.3527623739851
